Adottarlo	Adottar,lo
abbracciarcela	abbracciar,ce,la
abbracciarcele	abbracciar,ce,le
abbracciarceli	abbracciar,ce,li
abbracciarcelo	abbracciar,ce,lo
abbracciarcene	abbracciar,ce,ne
abbracciarci	abbracciar,ci
abbracciargli	abbracciar,gli
abbracciargliela	abbracciar,glie,la
abbracciargliele	abbracciar,glie,le
abbracciarglieli	abbracciar,glie,li
abbracciarglielo	abbracciar,glie,lo
abbracciargliene	abbracciar,glie,ne
abbracciarla	abbracciar,la
abbracciarle	abbracciar,le
abbracciarli	abbracciar,li
abbracciarlo	abbracciar,lo
abbracciarmela	abbracciar,me,la
abbracciarmele	abbracciar,me,le
abbracciarmeli	abbracciar,me,li
abbracciarmelo	abbracciar,me,lo
abbracciarmene	abbracciar,me,ne
abbracciarmi	abbracciar,mi
abbracciarne	abbracciar,ne
abbracciarsela	abbracciar,se,la
abbracciarsele	abbracciar,se,le
abbracciarseli	abbracciar,se,li
abbracciarselo	abbracciar,se,lo
abbracciarsene	abbracciar,se,ne
abbracciarsi	abbracciar,si
abbracciartela	abbracciar,te,la
abbracciartele	abbracciar,te,le
abbracciarteli	abbracciar,te,li
abbracciartelo	abbracciar,te,lo
abbracciartene	abbracciar,te,ne
abbracciarti	abbracciar,ti
abbracciarvela	abbracciar,ve,la
abbracciarvele	abbracciar,ve,le
abbracciarveli	abbracciar,ve,li
abbracciarvelo	abbracciar,ve,lo
abbracciarvene	abbracciar,ve,ne
abbracciarvi	abbracciar,vi
abbracciasela	abbraccia,se,la
abbracciasele	abbraccia,se,le
abbracciaseli	abbraccia,se,li
abbracciaselo	abbraccia,se,lo
abbracciasene	abbraccia,se,ne
abbracciasi	abbraccia,si
abbracciatane	abbracciata,ne
abbracciatasi	abbracciata,si
abbracciatecela	abbracciate,ce,la
abbracciatecele	abbracciate,ce,le
abbracciateceli	abbracciate,ce,li
abbracciatecelo	abbracciate,ce,lo
abbracciatecene	abbracciate,ce,ne
abbracciateci	abbracciate,ci
abbracciatela	abbraccia,te,la
abbracciatele	abbraccia,te,le
abbracciateli	abbraccia,te,li
abbracciatelo	abbraccia,te,lo
abbracciatemela	abbracciate,me,la
abbracciatemele	abbracciate,me,le
abbracciatemeli	abbracciate,me,li
abbracciatemelo	abbracciate,me,lo
abbracciatemi	abbracciate,mi
abbracciatene	abbraccia,te,ne
abbracciatesi	abbracciate,si
abbracciatevela	abbracciate,ve,la
abbracciatevele	abbracciate,ve,le
abbracciateveli	abbracciate,ve,li
abbracciatevelo	abbracciate,ve,lo
abbracciatevene	abbracciate,ve,ne
abbracciatevi	abbracciate,vi
abbracciati	abbraccia,ti
abbracciatisi	abbracciati,si
abbracciatone	abbracciato,ne
abbracciatosi	abbracciato,si
abbracciavela	abbraccia,ve,la
abbracciavele	abbraccia,ve,le
abbracciaveli	abbraccia,ve,li
abbracciavelo	abbraccia,ve,lo
abbracciavene	abbraccia,ve,ne
abbracciavi	abbraccia,vi
abbuffarsi	abbuffar,si
abitarla	abitar,la
abituarci	abituar,ci
accadercela	accader,ce,la
accadercele	accader,ce,le
accaderceli	accader,ce,li
accadercelo	accader,ce,lo
accadercene	accader,ce,ne
accaderci	accader,ci
accadergli	accader,gli
accadergliela	accader,glie,la
accadergliele	accader,glie,le
accaderglieli	accader,glie,li
accaderglielo	accader,glie,lo
accadergliene	accader,glie,ne
accaderla	accader,la
accaderle	accader,le
accaderli	accader,li
accaderlo	accader,lo
accadermela	accader,me,la
accadermele	accader,me,le
accadermeli	accader,me,li
accadermelo	accader,me,lo
accadermene	accader,me,ne
accadermi	accader,mi
accaderne	accader,ne
accadersela	accader,se,la
accadersele	accader,se,le
accaderseli	accader,se,li
accaderselo	accader,se,lo
accadersene	accader,se,ne
accadersi	accader,si
accadertela	accader,te,la
accadertele	accader,te,le
accaderteli	accader,te,li
accadertelo	accader,te,lo
accadertene	accader,te,ne
accaderti	accader,ti
accadervela	accader,ve,la
accadervele	accader,ve,le
accaderveli	accader,ve,li
accadervelo	accader,ve,lo
accadervene	accader,ve,ne
accadervi	accader,vi
accadutaci	accaduta,ci
accadutagli	accaduta,gli
accadutami	accaduta,mi
accadutati	accaduta,ti
accadutoci	accaduto,ci
accadutogli	accaduto,gli
accadutomi	accaduto,mi
accadutoti	accaduto,ti
accanirsi	accanir,si
accentuarsi	accentuar,si
accoglierla	accoglier,la
accoglierlo	accoglier,lo
accollarsi	accollar,si
accomodarsi	accomodar,si
accontentarci	accontentar,ci
accontentarsi	accontentar,si
accoppiarlo	accoppiar,lo
accordandosi	accordando,si
accorgermene	accorger,me,ne
accorgersi	accorger,si
accostarsi	accostar,si
accreditarsi	accreditar,si
accrescerne	accrescer,ne
accumularsi	accumular,si
acquistacela	acquista,ce,la
acquistacele	acquista,ce,le
acquistaceli	acquista,ce,li
acquistacelo	acquista,ce,lo
acquistacene	acquista,ce,ne
acquistaci	acquista,ci
acquistagli	acquista,gli
acquistagliela	acquista,glie,la
acquistagliele	acquista,glie,le
acquistaglieli	acquista,glie,li
acquistaglielo	acquista,glie,lo
acquistagliene	acquista,glie,ne
acquistala	acquista,la
acquistale	acquista,le
acquistali	acquista,li
acquistalo	acquista,lo
acquistamela	acquista,me,la
acquistamele	acquista,me,le
acquistameli	acquista,me,li
acquistamelo	acquista,me,lo
acquistamene	acquista,me,ne
acquistami	acquista,mi
acquistandocela	acquistando,ce,la
acquistandocele	acquistando,ce,le
acquistandoceli	acquistando,ce,li
acquistandocelo	acquistando,ce,lo
acquistandocene	acquistando,ce,ne
acquistandoci	acquistando,ci
acquistandogli	acquistando,gli
acquistandogliela	acquistando,glie,la
acquistandogliele	acquistando,glie,le
acquistandoglieli	acquistando,glie,li
acquistandoglielo	acquistando,glie,lo
acquistandogliene	acquistando,glie,ne
acquistandola	acquistando,la
acquistandole	acquistando,le
acquistandoli	acquistando,li
acquistandolo	acquistando,lo
acquistandomela	acquistando,me,la
acquistandomele	acquistando,me,le
acquistandomeli	acquistando,me,li
acquistandomelo	acquistando,me,lo
acquistandomene	acquistando,me,ne
acquistandomi	acquistando,mi
acquistandone	acquistando,ne
acquistandosela	acquistando,se,la
acquistandosele	acquistando,se,le
acquistandoseli	acquistando,se,li
acquistandoselo	acquistando,se,lo
acquistandosene	acquistando,se,ne
acquistandosi	acquistando,si
acquistandotela	acquistando,te,la
acquistandotele	acquistando,te,le
acquistandoteli	acquistando,te,li
acquistandotelo	acquistando,te,lo
acquistandotene	acquistando,te,ne
acquistandoti	acquistando,ti
acquistandovela	acquistando,ve,la
acquistandovele	acquistando,ve,le
acquistandoveli	acquistando,ve,li
acquistandovelo	acquistando,ve,lo
acquistandovene	acquistando,ve,ne
acquistandovi	acquistando,vi
acquistane	acquista,ne
acquistarcela	acquistar,ce,la
acquistarcele	acquistar,ce,le
acquistarceli	acquistar,ce,li
acquistarcelo	acquistar,ce,lo
acquistarcene	acquistar,ce,ne
acquistarci	acquistar,ci
acquistargli	acquistar,gli
acquistargliela	acquistar,glie,la
acquistargliele	acquistar,glie,le
acquistarglieli	acquistar,glie,li
acquistarglielo	acquistar,glie,lo
acquistargliene	acquistar,glie,ne
acquistarla	acquistar,la
acquistarle	acquistar,le
acquistarli	acquistar,li
acquistarlo	acquistar,lo
acquistarmela	acquistar,me,la
acquistarmele	acquistar,me,le
acquistarmeli	acquistar,me,li
acquistarmelo	acquistar,me,lo
acquistarmene	acquistar,me,ne
acquistarmi	acquistar,mi
acquistarne	acquistar,ne
acquistarsela	acquistar,se,la
acquistarsele	acquistar,se,le
acquistarseli	acquistar,se,li
acquistarselo	acquistar,se,lo
acquistarsene	acquistar,se,ne
acquistarsi	acquistar,si
acquistartela	acquistar,te,la
acquistartele	acquistar,te,le
acquistarteli	acquistar,te,li
acquistartelo	acquistar,te,lo
acquistartene	acquistar,te,ne
acquistarti	acquistar,ti
acquistarvela	acquistar,ve,la
acquistarvele	acquistar,ve,le
acquistarveli	acquistar,ve,li
acquistarvelo	acquistar,ve,lo
acquistarvene	acquistar,ve,ne
acquistarvi	acquistar,vi
acquistasela	acquista,se,la
acquistasele	acquista,se,le
acquistaseli	acquista,se,li
acquistaselo	acquista,se,lo
acquistasene	acquista,se,ne
acquistasi	acquista,si
acquistatane	acquistata,ne
acquistatasi	acquistata,si
acquistatecela	acquistate,ce,la
acquistatecele	acquistate,ce,le
acquistateceli	acquistate,ce,li
acquistatecelo	acquistate,ce,lo
acquistatecene	acquistate,ce,ne
acquistateci	acquistate,ci
acquistatela	acquista,te,la
acquistatele	acquista,te,le
acquistateli	acquista,te,li
acquistatelo	acquista,te,lo
acquistatemela	acquistate,me,la
acquistatemele	acquistate,me,le
acquistatemeli	acquistate,me,li
acquistatemelo	acquistate,me,lo
acquistatemi	acquistate,mi
acquistatene	acquista,te,ne
acquistatesi	acquistate,si
acquistatevela	acquistate,ve,la
acquistatevele	acquistate,ve,le
acquistateveli	acquistate,ve,li
acquistatevelo	acquistate,ve,lo
acquistatevene	acquistate,ve,ne
acquistatevi	acquistate,vi
acquistati	acquista,ti
acquistatisi	acquistati,si
acquistatone	acquistato,ne
acquistatosi	acquistato,si
acquistavela	acquista,ve,la
acquistavele	acquista,ve,le
acquistaveli	acquista,ve,li
acquistavelo	acquista,ve,lo
acquistavene	acquista,ve,ne
acquistavi	acquista,vi
acquistiamocela	acquistiamo,ce,la
acquistiamocele	acquistiamo,ce,le
acquistiamoceli	acquistiamo,ce,li
acquistiamocelo	acquistiamo,ce,lo
acquistiamocene	acquistiamo,ce,ne
acquistiamoci	acquistiamo,ci
acquistiamola	acquistiamo,la
acquistiamole	acquistiamo,le
acquistiamoli	acquistiamo,li
acquistiamolo	acquistiamo,lo
acquistiamone	acquistiamo,ne
adattarsi	adattar,si
addentrarsi	addentrar,si
addolorarci	addolorar,ci
adeguandola	adeguando,la
adeguandosi	adeguando,si
adeguarsi	adeguar,si
adempierle	adempier,le
aderirvi	aderir,vi
adoperarsi	adoperar,si
adottarsi	adottar,si
adunarsi	adunar,si
affacciarsi	affacciar,si
affermarlo	affermar,lo
affermarsi	affermar,si
affidarsi	affidar,si
affievolirsi	affievolir,si
affiliarsi	affiliar,si
affrancarsi	affrancar,si
aggiudicarsi	aggiudicar,si
aggravarsi	aggravar,si
agli	a,gli
ai	a,i
aiutarle	aiutar,le
aiutarli	aiutar,li
aiutarlo	aiutar,lo
aiutarsi	aiutar,si
al	a,il
all'	a,l'
alla	a,la
allargarne	allargar,ne
allargarsi	allargar,si
alle	a,le
allenarmi	allenar,mi
allentarsi	allentar,si
alleviarcela	alleviar,ce,la
alleviarcele	alleviar,ce,le
alleviarceli	alleviar,ce,li
alleviarcelo	alleviar,ce,lo
alleviarcene	alleviar,ce,ne
alleviarci	alleviar,ci
alleviargli	alleviar,gli
alleviargliela	alleviar,glie,la
alleviargliele	alleviar,glie,le
alleviarglieli	alleviar,glie,li
alleviarglielo	alleviar,glie,lo
alleviargliene	alleviar,glie,ne
alleviarla	alleviar,la
alleviarle	alleviar,le
alleviarli	alleviar,li
alleviarlo	alleviar,lo
alleviarmela	alleviar,me,la
alleviarmele	alleviar,me,le
alleviarmeli	alleviar,me,li
alleviarmelo	alleviar,me,lo
alleviarmene	alleviar,me,ne
alleviarmi	alleviar,mi
alleviarne	alleviar,ne
alleviarsela	alleviar,se,la
alleviarsele	alleviar,se,le
alleviarseli	alleviar,se,li
alleviarselo	alleviar,se,lo
alleviarsene	alleviar,se,ne
alleviarsi	alleviar,si
alleviartela	alleviar,te,la
alleviartele	alleviar,te,le
alleviarteli	alleviar,te,li
alleviartelo	alleviar,te,lo
alleviartene	alleviar,te,ne
alleviarti	alleviar,ti
alleviarvela	alleviar,ve,la
alleviarvele	alleviar,ve,le
alleviarveli	alleviar,ve,li
alleviarvelo	alleviar,ve,lo
alleviarvene	alleviar,ve,ne
alleviarvi	alleviar,vi
alleviataci	alleviata,ci
alleviatagli	alleviata,gli
alleviatami	alleviata,mi
alleviatati	alleviata,ti
alleviatoci	alleviato,ci
alleviatogli	alleviato,gli
alleviatomi	alleviato,mi
alleviatoti	alleviato,ti
allo	a,lo
allontanandomi	allontanando,mi
allontanandosi	allontanando,si
allontanarsi	allontanar,si
allungarsi	allungar,si
all’	a,l’
alterarne	alterar,ne
alternarsi	alternar,si
alzarvi	alzar,vi
amarla	amar,la
ammalatasi	ammalata,si
ammetterlo	ammetter,lo
ammucchiatovi	ammucchiato,vi
ampliarlo	ampliar,lo
analizzandolo	analizzando,lo
ancorandone	ancorando,ne
andandocela	andando,ce,la
andandocele	andando,ce,le
andandoceli	andando,ce,li
andandocelo	andando,ce,lo
andandocene	andando,ce,ne
andandoci	andando,ci
andandogli	andando,gli
andandogliela	andando,glie,la
andandogliele	andando,glie,le
andandoglieli	andando,glie,li
andandoglielo	andando,glie,lo
andandogliene	andando,glie,ne
andandola	andando,la
andandole	andando,le
andandoli	andando,li
andandolo	andando,lo
andandomela	andando,me,la
andandomele	andando,me,le
andandomeli	andando,me,li
andandomelo	andando,me,lo
andandomene	andando,me,ne
andandomi	andando,mi
andandone	andando,ne
andandosela	andando,se,la
andandosele	andando,se,le
andandoseli	andando,se,li
andandoselo	andando,se,lo
andandosene	andando,se,ne
andandosi	andando,si
andandotela	andando,te,la
andandotele	andando,te,le
andandoteli	andando,te,li
andandotelo	andando,te,lo
andandotene	andando,te,ne
andandoti	andando,ti
andandovela	andando,ve,la
andandovele	andando,ve,le
andandoveli	andando,ve,li
andandovelo	andando,ve,lo
andandovene	andando,ve,ne
andandovi	andando,vi
andarcela	andar,ce,la
andarcele	andar,ce,le
andarceli	andar,ce,li
andarcelo	andar,ce,lo
andarcene	andar,ce,ne
andarci	andar,ci
andargli	andar,gli
andargliela	andar,glie,la
andargliele	andar,glie,le
andarglieli	andar,glie,li
andarglielo	andar,glie,lo
andargliene	andar,glie,ne
andarla	andar,la
andarle	andar,le
andarli	andar,li
andarlo	andar,lo
andarmela	andar,me,la
andarmele	andar,me,le
andarmeli	andar,me,li
andarmelo	andar,me,lo
andarmene	andar,me,ne
andarmi	andar,mi
andarne	andar,ne
andarsela	andar,se,la
andarsele	andar,se,le
andarseli	andar,se,li
andarselo	andar,se,lo
andarsene	andar,se,ne
andarsi	andar,si
andartela	andar,te,la
andartele	andar,te,le
andarteli	andar,te,li
andartelo	andar,te,lo
andartene	andar,te,ne
andarti	andar,ti
andarvela	andar,ve,la
andarvele	andar,ve,le
andarveli	andar,ve,li
andarvelo	andar,ve,lo
andarvene	andar,ve,ne
andarvi	andar,vi
andatane	andata,ne
andatasi	andata,si
andatecela	andate,ce,la
andatecele	andate,ce,le
andateceli	andate,ce,li
andatecelo	andate,ce,lo
andatecene	andate,ce,ne
andateci	andate,ci
andatela	andate,la
andatele	andate,le
andateli	andate,li
andatelo	andate,lo
andatemela	andate,me,la
andatemele	andate,me,le
andatemeli	andate,me,li
andatemelo	andate,me,lo
andatemi	andate,mi
andatene	andate,ne
andatesi	andate,si
andatevela	andate,ve,la
andatevele	andate,ve,le
andateveli	andate,ve,li
andatevelo	andate,ve,lo
andatevene	andate,ve,ne
andatevi	andate,vi
andatisi	andati,si
andatone	andato,ne
andatosi	andato,si
andiamocela	andiamo,ce,la
andiamocele	andiamo,ce,le
andiamoceli	andiamo,ce,li
andiamocelo	andiamo,ce,lo
andiamocene	andiamo,ce,ne
andiamoci	andiamo,ci
andiamola	andiamo,la
andiamole	andiamo,le
andiamoli	andiamo,li
andiamolo	andiamo,lo
andiamone	andiamo,ne
animarsi	animar,si
apertane	aperta,ne
apertasi	aperta,si
apertesi	aperte,si
apertisi	aperti,si
apertone	aperto,ne
apertosi	aperto,si
apparircela	apparir,ce,la
apparircele	apparir,ce,le
apparirceli	apparir,ce,li
apparircelo	apparir,ce,lo
apparircene	apparir,ce,ne
apparirci	apparir,ci
apparirgli	apparir,gli
apparirgliela	apparir,glie,la
apparirgliele	apparir,glie,le
apparirglieli	apparir,glie,li
apparirglielo	apparir,glie,lo
apparirgliene	apparir,glie,ne
apparirla	apparir,la
apparirle	apparir,le
apparirli	apparir,li
apparirlo	apparir,lo
apparirmela	apparir,me,la
apparirmele	apparir,me,le
apparirmeli	apparir,me,li
apparirmelo	apparir,me,lo
apparirmene	apparir,me,ne
apparirmi	apparir,mi
apparirne	apparir,ne
apparirsela	apparir,se,la
apparirsele	apparir,se,le
apparirseli	apparir,se,li
apparirselo	apparir,se,lo
apparirsene	apparir,se,ne
apparirsi	apparir,si
apparirtela	apparir,te,la
apparirtele	apparir,te,le
apparirteli	apparir,te,li
apparirtelo	apparir,te,lo
apparirtene	apparir,te,ne
apparirti	apparir,ti
apparirvela	apparir,ve,la
apparirvele	apparir,ve,le
apparirveli	apparir,ve,li
apparirvelo	apparir,ve,lo
apparirvene	apparir,ve,ne
apparirvi	apparir,vi
apparsaci	apparsa,ci
apparsagli	apparsa,gli
apparsami	apparsa,mi
apparsati	apparsa,ti
apparsoci	apparso,ci
apparsogli	apparso,gli
apparsomi	apparso,mi
apparsoti	apparso,ti
appartarsi	appartar,si
applicarlo	applicar,lo
applicarmi	applicar,mi
applicarsi	applicar,si
appoggiandovi	appoggiando,vi
appoggiarvi	appoggiar,vi
appostarsi	appostar,si
approfittarne	approfittar,ne
approfondirsi	approfondir,si
appropriandosi	appropriando,si
approvarla	approvar,la
aprendocela	aprendo,ce,la
aprendocele	aprendo,ce,le
aprendoceli	aprendo,ce,li
aprendocelo	aprendo,ce,lo
aprendocene	aprendo,ce,ne
aprendoci	aprendo,ci
aprendogli	aprendo,gli
aprendogliela	aprendo,glie,la
aprendogliele	aprendo,glie,le
aprendoglieli	aprendo,glie,li
aprendoglielo	aprendo,glie,lo
aprendogliene	aprendo,glie,ne
aprendola	aprendo,la
aprendole	aprendo,le
aprendoli	aprendo,li
aprendolo	aprendo,lo
aprendomela	aprendo,me,la
aprendomele	aprendo,me,le
aprendomeli	aprendo,me,li
aprendomelo	aprendo,me,lo
aprendomene	aprendo,me,ne
aprendomi	aprendo,mi
aprendone	aprendo,ne
aprendosela	aprendo,se,la
aprendosele	aprendo,se,le
aprendoseli	aprendo,se,li
aprendoselo	aprendo,se,lo
aprendosene	aprendo,se,ne
aprendosi	aprendo,si
aprendotela	aprendo,te,la
aprendotele	aprendo,te,le
aprendoteli	aprendo,te,li
aprendotelo	aprendo,te,lo
aprendotene	aprendo,te,ne
aprendoti	aprendo,ti
aprendovela	aprendo,ve,la
aprendovele	aprendo,ve,le
aprendoveli	aprendo,ve,li
aprendovelo	aprendo,ve,lo
aprendovene	aprendo,ve,ne
aprendovi	aprendo,vi
apriamocela	apriamo,ce,la
apriamocele	apriamo,ce,le
apriamoceli	apriamo,ce,li
apriamocelo	apriamo,ce,lo
apriamocene	apriamo,ce,ne
apriamoci	apriamo,ci
apriamola	apriamo,la
apriamole	apriamo,le
apriamoli	apriamo,li
apriamolo	apriamo,lo
apriamone	apriamo,ne
apricela	apri,ce,la
apricele	apri,ce,le
apriceli	apri,ce,li
apricelo	apri,ce,lo
apricene	apri,ce,ne
aprici	apri,ci
aprigli	apri,gli
aprigliela	apri,glie,la
aprigliele	apri,glie,le
apriglieli	apri,glie,li
apriglielo	apri,glie,lo
aprigliene	apri,glie,ne
aprila	apri,la
aprile	apri,le
aprili	apri,li
aprilo	apri,lo
aprimela	apri,me,la
aprimele	apri,me,le
aprimeli	apri,me,li
aprimelo	apri,me,lo
aprimene	apri,me,ne
aprimi	apri,mi
aprine	apri,ne
aprircela	aprir,ce,la
aprircele	aprir,ce,le
aprirceli	aprir,ce,li
aprircelo	aprir,ce,lo
aprircene	aprir,ce,ne
aprirci	aprir,ci
aprirgli	aprir,gli
aprirgliela	aprir,glie,la
aprirgliele	aprir,glie,le
aprirglieli	aprir,glie,li
aprirglielo	aprir,glie,lo
aprirgliene	aprir,glie,ne
aprirla	aprir,la
aprirle	aprir,le
aprirli	aprir,li
aprirlo	aprir,lo
aprirmela	aprir,me,la
aprirmele	aprir,me,le
aprirmeli	aprir,me,li
aprirmelo	aprir,me,lo
aprirmene	aprir,me,ne
aprirmi	aprir,mi
aprirne	aprir,ne
aprirsela	aprir,se,la
aprirsele	aprir,se,le
aprirseli	aprir,se,li
aprirselo	aprir,se,lo
aprirsene	aprir,se,ne
aprirsi	aprir,si
aprirtela	aprir,te,la
aprirtele	aprir,te,le
aprirteli	aprir,te,li
aprirtelo	aprir,te,lo
aprirtene	aprir,te,ne
aprirti	aprir,ti
aprirvela	aprir,ve,la
aprirvele	aprir,ve,le
aprirveli	aprir,ve,li
aprirvelo	aprir,ve,lo
aprirvene	aprir,ve,ne
aprirvi	aprir,vi
aprisela	apri,se,la
aprisele	apri,se,le
apriseli	apri,se,li
apriselo	apri,se,lo
aprisene	apri,se,ne
aprisi	apri,si
apritecela	aprite,ce,la
apritecele	aprite,ce,le
apriteceli	aprite,ce,li
apritecelo	aprite,ce,lo
apritecene	aprite,ce,ne
apriteci	aprite,ci
apritela	apri,te,la
apritele	apri,te,le
apriteli	apri,te,li
apritelo	apri,te,lo
apritemela	aprite,me,la
apritemele	aprite,me,le
apritemeli	aprite,me,li
apritemelo	aprite,me,lo
apritemi	aprite,mi
apritene	apri,te,ne
apritevela	aprite,ve,la
apritevele	aprite,ve,le
apriteveli	aprite,ve,li
apritevelo	aprite,ve,lo
apritevene	aprite,ve,ne
apritevi	aprite,vi
apriti	apri,ti
aprivela	apri,ve,la
aprivele	apri,ve,le
apriveli	apri,ve,li
aprivelo	apri,ve,lo
aprivene	apri,ve,ne
aprivi	apri,vi
arginarli	arginar,li
arrabbiarti	arrabbiar,ti
arrangiatevi	arrangiate,vi
